FileName,FileSize,Classification,Reason
booth11_a1_1787072510070.jpg,721207,REJECTED_SYNTHETIC,AI diffusion multi-angle generated image without camera EXIF / geometry inconsistency
booth11_a2_1787072522975.jpg,877771,REJECTED_SYNTHETIC,AI diffusion multi-angle generated image without camera EXIF / geometry inconsistency
booth11_a3_1787072531860.jpg,667239,REJECTED_SYNTHETIC,AI diffusion multi-angle generated image without camera EXIF / geometry inconsistency
booth12_a1_1787072574121.jpg,678264,REJECTED_SYNTHETIC,AI diffusion multi-angle generated image without camera EXIF / geometry inconsistency
booth12_a2_1787072821602.jpg,933446,REJECTED_SYNTHETIC,AI diffusion multi-angle generated image without camera EXIF / geometry inconsistency
booth12_a3_1787072832412.jpg,659108,REJECTED_SYNTHETIC,AI diffusion multi-angle generated image without camera EXIF / geometry inconsistency
booth13_a1_1787070148283.jpg,747122,REJECTED_SYNTHETIC,AI diffusion multi-angle generated image without camera EXIF / geometry inconsistency
booth13_a2_1787070161777.jpg,809010,REJECTED_SYNTHETIC,AI diffusion multi-angle generated image without camera EXIF / geometry inconsistency
booth13_a3_1787072876447.jpg,606290,REJECTED_SYNTHETIC,AI diffusion multi-angle generated image without camera EXIF / geometry inconsistency
booth14_a1_1787072887703.jpg,784312,REJECTED_SYNTHETIC,AI diffusion multi-angle generated image without camera EXIF / geometry inconsistency
booth14_a2_1787072899193.jpg,922280,REJECTED_SYNTHETIC,AI diffusion multi-angle generated image without camera EXIF / geometry inconsistency
booth14_a3_1787072979702.jpg,612327,REJECTED_SYNTHETIC,AI diffusion multi-angle generated image without camera EXIF / geometry inconsistency
booth15_a1_1787073788540.jpg,826171,REJECTED_SYNTHETIC,AI diffusion multi-angle generated image without camera EXIF / geometry inconsistency
booth15_a2_1787073799068.jpg,881043,REJECTED_SYNTHETIC,AI diffusion multi-angle generated image without camera EXIF / geometry inconsistency
booth15_a3_1787073807719.jpg,779926,REJECTED_SYNTHETIC,AI diffusion multi-angle generated image without camera EXIF / geometry inconsistency
booth16_a1_1787073863197.jpg,699826,REJECTED_SYNTHETIC,AI diffusion multi-angle generated image without camera EXIF / geometry inconsistency
booth16_a2_1787073875235.jpg,913871,REJECTED_SYNTHETIC,AI diffusion multi-angle generated image without camera EXIF / geometry inconsistency
booth16_a3_1787073886620.jpg,675870,REJECTED_SYNTHETIC,AI diffusion multi-angle generated image without camera EXIF / geometry inconsistency
booth17_a1_1787070145827.jpg,709929,REJECTED_SYNTHETIC,AI diffusion multi-angle generated image without camera EXIF / geometry inconsistency
booth17_a2_1787070163341.jpg,774517,REJECTED_SYNTHETIC,AI diffusion multi-angle generated image without camera EXIF / geometry inconsistency
booth18_a1_1787074134093.jpg,814887,REJECTED_SYNTHETIC,AI diffusion multi-angle generated image without camera EXIF / geometry inconsistency
